upper_band,lower_band,severe_ratio,cooldown_ms,move_budget,tau_ms,use_smoothed_load,total_moves,total_load_moved,avg_mm_smooth,worst_mm_smooth,avg_mm_reported,worst_mm_reported,avg_cv_smooth,worst_cv_smooth,avg_cv_reported,worst_cv_reported
1.0300,0.9500,1.5000,30000,0.0100,30000,false,3625,135066.40,1.042703,1.268928,1.042703,1.268928,0.030578,0.163602,0.030578,0.163602
1.0300,0.9500,1.5000,30000,0.0100,60000,false,3528,133375.20,1.046346,1.295049,1.046346,1.295049,0.032791,0.175601,0.032791,0.175601
1.0300,0.9500,1.5000,120000,0.0100,0,true,447,7445.21,1.033952,1.266496,1.146095,1.618693,0.025267,0.170610,0.116701,0.362056
1.0300,0.9500,1.5000,30000,0.0100,300000,false,3709,134800.00,1.043274,1.299937,1.043274,1.299937,0.031087,0.177939,0.031087,0.177939
1.0300,0.9500,1.5000,120000,0.0100,30000,true,447,7445.21,1.033952,1.266496,1.146095,1.618693,0.025267,0.170610,0.116701,0.362056
1.0300,0.9500,1.5000,120000,0.0100,60000,true,447,7445.21,1.033952,1.266496,1.146095,1.618693,0.025267,0.170610,0.116701,0.362056
1.0300,0.9500,1.5000,120000,0.0100,0,false,3545,135704.40,1.045832,1.277975,1.045832,1.277975,0.032428,0.163693,0.032428,0.163693
1.0300,0.9500,1.5000,120000,0.0100,300000,true,447,7445.21,1.033952,1.266496,1.146095,1.618693,0.025267,0.170610,0.116701,0.362056
1.0300,0.9500,1.5000,120000,0.0100,30000,false,3547,135376.10,1.045319,1.271028,1.045319,1.271028,0.032247,0.157153,0.032247,0.157153
1.0300,0.9800,1.5000,0,0.0100,0,true,1189,13015.59,1.023934,1.293703,1.144246,1.649612,0.018761,0.171087,0.116077,0.385796
1.0300,0.9800,1.5000,0,0.0100,30000,true,1189,13015.59,1.023934,1.293703,1.144246,1.649612,0.018761,0.171087,0.116077,0.385796
1.0300,0.9500,1.5000,120000,0.0100,60000,false,3625,135462.90,1.044077,1.378538,1.044077,1.378538,0.031450,0.226006,0.031450,0.226006
1.0300,0.9800,1.5000,0,0.0100,60000,true,1189,13015.59,1.023934,1.293703,1.144246,1.649612,0.018761,0.171087,0.116077,0.385796
1.0300,0.9500,1.5000,120000,0.0100,300000,false,3532,133391.70,1.044589,1.381573,1.044589,1.381573,0.031970,0.233011,0.031970,0.233011
1.0300,0.9800,1.5000,0,0.0100,0,false,4626,145046.70,1.036035,1.273788,1.036035,1.273788,0.026403,0.167122,0.026403,0.167122
1.0300,0.9800,1.5000,0,0.0100,300000,true,1189,13015.59,1.023934,1.293703,1.144246,1.649612,0.018761,0.171087,0.116077,0.385796
1.0300,0.9800,1.5000,0,0.0100,30000,false,4716,143571.00,1.035271,1.381573,1.035271,1.381573,0.025765,0.226856,0.025765,0.226856
1.0300,0.9800,1.5000,0,0.0100,60000,false,4632,144095.90,1.035077,1.378538,1.035077,1.378538,0.025930,0.221303,0.025930,0.221303
1.0300,0.9800,1.5000,30000,0.0100,0,true,1144,12820.12,1.030829,1.293703,1.146710,1.642584,0.022624,0.170756,0.116981,0.375253
1.0300,0.9800,1.5000,0,0.0100,300000,false,4705,145952.40,1.035487,1.378538,1.035487,1.378538,0.026233,0.221392,0.026233,0.221392
1.0300,0.9800,1.5000,30000,0.0100,30000,true,1144,12820.12,1.030829,1.293703,1.146710,1.642584,0.022624,0.170756,0.116981,0.375253
1.0300,0.9800,1.5000,30000,0.0100,60000,true,1144,12820.12,1.030829,1.293703,1.146710,1.642584,0.022624,0.170756,0.116981,0.375253
1.0300,0.9800,1.5000,30000,0.0100,0,false,4731,142164.40,1.037262,1.338108,1.037262,1.338108,0.027122,0.197896,0.027122,0.197896
1.0300,0.9800,1.5000,30000,0.0100,300000,true,1144,12820.12,1.030829,1.293703,1.146710,1.642584,0.022624,0.170756,0.116981,0.375253
1.0300,0.9800,1.5000,120000,0.0100,0,true,1639,13206.28,1.026256,1.268785,1.144727,1.669044,0.020244,0.160001,0.116783,0.395028
1.0300,0.9800,1.5000,30000,0.0100,30000,false,4587,141169.80,1.041603,1.287451,1.041603,1.287451,0.029677,0.168793,0.029677,0.168793
1.0300,0.9800,1.5000,120000,0.0100,30000,true,1639,13206.28,1.026256,1.268785,1.144727,1.669044,0.020244,0.160001,0.116783,0.395028
1.0300,0.9800,1.5000,30000,0.0100,60000,false,4635,139906.30,1.037600,1.381573,1.037600,1.381573,0.027330,0.226773,0.027330,0.226773
1.0300,0.9800,1.5000,30000,0.0100,300000,false,4697,143864.70,1.037678,1.273788,1.037678,1.273788,0.027335,0.168271,0.027335,0.168271
1.0300,0.9800,1.5000,120000,0.0100,60000,true,1639,13206.28,1.026256,1.268785,1.144727,1.669044,0.020244,0.160001,0.116783,0.395028
1.0300,0.9800,1.5000,120000,0.0100,0,false,4894,146446.30,1.033298,1.273993,1.033298,1.273993,0.024725,0.168458,0.024725,0.168458
1.0300,0.9800,1.5000,120000,0.0100,300000,true,1639,13206.28,1.026256,1.268785,1.144727,1.669044,0.020244,0.160001,0.116783,0.395028
1.0300,0.9800,1.5000,120000,0.0100,30000,false,4906,145666.50,1.033834,1.338108,1.033834,1.338108,0.025087,0.200012,0.025087,0.200012
1.0300,0.9800,1.5000,120000,0.0100,60000,false,4651,146852.80,1.034030,1.281147,1.034030,1.281147,0.025090,0.170445,0.025090,0.170445
1.0500,0.7000,1.5000,0,0.0100,0,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0300,0.9800,1.5000,120000,0.0100,300000,false,4631,142708.60,1.037537,1.378538,1.037537,1.378538,0.027362,0.223220,0.027362,0.223220
1.0500,0.7000,1.5000,0,0.0100,30000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,0,0.0100,0,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,0,0.0100,60000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,0,0.0100,300000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,0,0.0100,30000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,30000,0.0100,0,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,0,0.0100,60000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,30000,0.0100,30000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
