timestamp,pod,cpu_cores,throttled_cores,throttled_events,memory_mib,memory_max
2026-05-18T10:24:46Z,cadence-matching-b-0,0.0024,0.0000,0,28.65,536870912
2026-05-18T10:24:46Z,cadence-matching-c-0,0.0027,0.0000,0,28.90,536870912
2026-05-18T10:24:46Z,cadence-shard-distributor-0,0.0163,0.0000,0,53.57,max
2026-05-18T10:24:46Z,cassandra-0,0.0126,0.0000,0,9058.05,max
2026-05-18T10:24:46Z,etcd-0,0.0087,0.0000,0,148.77,max
2026-05-18T10:24:58Z,cadence-frontend-0,0.0027,0.0000,0,35.58,max
2026-05-18T10:24:58Z,cadence-history-0,0.0026,0.0000,0,43.41,max
2026-05-18T10:24:58Z,cadence-matching-a-0,0.0023,0.0000,0,27.07,536870912
2026-05-18T10:24:58Z,cadence-matching-b-0,0.0028,0.0000,0,28.98,536870912
2026-05-18T10:24:58Z,cadence-matching-c-0,0.0024,0.0000,0,28.96,536870912
2026-05-18T10:24:58Z,cadence-shard-distributor-0,0.0165,0.0000,0,58.88,max
2026-05-18T10:24:58Z,cassandra-0,0.0094,0.0000,0,9058.64,max
2026-05-18T10:24:58Z,etcd-0,0.0097,0.0000,0,157.98,max
2026-05-18T10:25:10Z,cadence-frontend-0,0.0026,0.0000,0,35.75,max
2026-05-18T10:25:10Z,cadence-history-0,0.0034,0.0000,0,43.15,max
2026-05-18T10:25:10Z,cadence-matching-a-0,0.0027,0.0000,0,27.01,536870912
2026-05-18T10:25:10Z,cadence-matching-b-0,0.0028,0.0000,0,30.43,536870912
2026-05-18T10:25:10Z,cadence-matching-c-0,0.0028,0.0000,0,30.33,536870912
2026-05-18T10:25:10Z,cadence-shard-distributor-0,0.0172,0.0000,0,56.83,max
2026-05-18T10:25:10Z,cassandra-0,0.0124,0.0000,0,9062.58,max
2026-05-18T10:25:10Z,etcd-0,0.0091,0.0000,0,164.56,max
